ID;Name;Text;Money;Fear;Fame
Succub-poison;Навеки скованы;Старая кочерыжка! Если уж о своей душе не думаешь, то не мешай спасать мою! Я почти разорвала дьявольский пакт, но ты влезла со своим поганым ядом. Теперь придется искать новую жертву, а мне это дело уже опротивело… Что ж, живи, пока дьявол не выжмет из тебя все соки. Я могла бы помочь, но теперь уж точно не стану. Пекло большое, места всем хватит.;;1;
Succub-numbness;Бесстрастный покойник;Крестьянин, которого донимала демоница, заявился к вам на следующее утро. Выглядел он посвежевшим, хотя лицо по-прежнему было желтым, как у покойника, а руки дрожали. Зелье сработало, и демоница сочла жертву мертвой. Мужик не уверен, что все у него будет работать, как раньше, но, если уж понадобится, он всегда сможет прихватить у вас подходящий отвар. А в церкви – пару намоленных крестов.;1;0.5;
Succub-mindblowing;Всякий договор заканчивается;Пока память при мне, слушай. Пакт, что отнял у тебя душу, можно разорвать. Это непросто, придется как следует подумать, но… обратись к колодцу своей памяти. Сны покажут, что было. Явь покажет, что вышло в итоге. А ты обдумай, стоило ли оно того, и отпусти то, что связывает тебя с дьяволом. А теперь прощай, меня ждут беспамятство и чужие смерти. Но даже это лучше несчастной любви.;;-0.5;
Succub-default;Новое тело – старая душа;Тело и дух моего бедолаги не достались ни нашему владыке, ни Господу. Они мои. Мы навек останемся заперты в смертной оболочке. И пакт больше не имеет силы. Ты тоже можешь найти избавление, но дойти до него должна сама. Память – твой ключ. А дверь к свободе спрятана в прошлом. Так или иначе, мы никогда не получим того, что обещано, и отдадим дьяволу все, что было нам дорого.;0.5;1;
Succub-branch-default;Похоть и святость;Королевство содрогнулось от новости о демоне похоти, что пыталась выкрасть тело замученного ею крестьянина. Церковники отогнали нечистую молитвами, но молельня теперь осквернена. Епископ взывает к народу, требуя остановить прелюбодеяния и наказывать ослушавшихся оскоплением. Он говорит, что все зло идет от знати, которая не знает меры в плотских утехах. А больше всех виноват, конечно, сластолюбец король.;;1;
Food_fest-love;Код красный!;Фестиваль народных кулинаров запомнился тем, что во время него образовалось множество пар. Между подачей блюд юнцы влюблялись в девиц, старики – в старух, рушились семьи, тут же зачинались новые. Во всем безобразии как-то совсем позабылось, ради чего собирался народ, и победителя не выбрали. Что ж, по крайней мере, населения в королевстве прибавится.;;;0.5
Food_fest-laughter-voice;Запрещенная добавка;Увы, среди тех, кто не сумел пробиться в следующий круг соревнований, оказалась и ваша новая знакомая. Люди, отведавшие ее кушаний, резко меняли голоса или гоготали, как безумные. Подобных шуток никто не оценил. Все же кулинария – дело серьезное!;;;-0.5
Food_fest-poison-hexing-numbness;Мойте руки!;Во время фестиваля кухарок отравилось так много народу, что дальнейшие состязания отменили. Отыскать виновного оказалось невозможно, но всех, кто кашеварил в тот день, отправили отрабатывать повинность на полях и лесных вырубках.;;0.5;
Food_fest-wake-speed-strenght-healing;Здоровая пища;До вас дошли слухи о молодой кулинарке, после стряпни которой люди излечивались от болезней, набирались сил и бодрились. Увы, особым вкусом та еда не отличалась, поэтому девушке посоветовали не скармливать свой талант едокам, а попробовать себя в медицине. И пригласили в городскую лечебницу.;0.4;-0.5;
Food_fest-flight;Слишком легкие закуски;Во время состязаний кухарок случилось странное. Люди, отведав стряпню некой молодой особы, взмывали над землей и тут же падали, калеча ноги и отбивая задницы. Подобное непотребство не оставило равнодушными церковников. Они нагрянули на фестиваль, разыскивая виновницу. Увы, та будто испарилась. Соревнование отложили на следующий год, а участников обязали отмечаться у духовенства.;;-0.5;0.5
Food_fest-branch-hot_stuff;Королевская кулинарка ;Вот и сбылась моя мечта. Меня позвали участвовать в жестком отборе на должность замковой кулинарки! Испытания совсем скоро, а судить их будет Верховный Повар. Один из самых влиятельных лордов королевства! Говорят, это жестокий, строгий человек. Но и я ведь не хлебный мякиш, верно? Справлюсь. Еще увидимся, ведьма, если так будет угодно судьбе.;1;;0.5
Recipe_for_revenge-wake-speed-strenght;Чревоугодие;Знатные господа, выбранные лордом-поваром, ели с таким аппетитом, что обчистили кухонные запасы за вечер. Казалось, сил в них не убавлялось, и они готовы были перемолоть столешницы и скамьи, на которых сидели. Подобные таланты кулинаров лорд-повар расценил особенно полезными и порекомендовал отослать всех на межу, кормить армию. Ведь сытый пехотинец – верный пехотинец.;;;0.5
Recipe_for_revenge-poison-hexing-numbness-sleep-clumsiness-mindblowing;Карательная пища;Первые пробы на роль королевского повара закончились печально. Многие из господ оказались у лекарей, а некоторые и вовсе не встали из-за стола. Бестолковым кулинарам нашли достойную их умений работу – крошить камень и таскать груженые телеги в шахтах. Уж там-то они точно никого не отравят!;;1;
Recipe_for_revenge-flight;Птичьи замашки;Вновь церковь взывает к простому народу. Все знают, сколь разнузданны приближенные к короне. Вот и очередное чревоугодие закончилось позором. Господа, насытившись сверх меры, вообразили себя птахами и устроили богопротивные птичьи игрища. Кто-то даже унавозил колонны и пометил крысолова! Лорд-повар согласился отдать кулинаров в руки церковникам. Якобы господа ни в чем не виноваты, их гнусно отравили. ;;-0.5;0.5
Recipe_for_revenge-branch-poison-hexing-numbness-sleep-clumsiness-mindblowing;Виновные всегда найдутся;После того, как нескольких господ отравили, лорд-повар чудом сохранил голову на плечах и свое место при дворе. Он быстро отыскал виновных – кулинаров, которых отбирал для дворцовой кухни. Мерзких отравителей передали родичам пострадавших, и те наказали их по своему усмотрению. Видимо, яд иногда отнюдь не самое верное оружие.;;1;-0.5
Recipe_for_revenge-plot-viral;Ночной ивент;Настало время снять маски. Я делаю все это не ради высокого положения, а из мести. Лорд-повар подставил мою бабушку, обвинив в колдовстве. Завидовал, пес! И получил все, что было у нас при дворе. Даже книгу с рецептами отнял! Чтобы понять, какой это человек, достаточно знать, что он казнил других кулинаров после того, как мы отравили господ. Но теперь-то я с ним расквитаюсь!;;;
Recipe_for_revenge-default;На корм псам;Лорд-повар с удивлением обнаружил в блюде черную чешуйку. Как позже стало известно, принадлежала она демону. Рассвирепевшая кулинарка попыталась зарезать главу кухни, но стражи остановили ее. Говорят, лорд-повар велел запечь чернокнижницу целиком и скормил псам. Правда ли это? Иногда лучше не знать, чтобы не мучиться угрызениями совести.;;;-1
Recipe_for_revenge-poison_and_all;Цена ошибки;Говорят, когда подлая кулинарка подала лорду-повару отравленную стряпню, он сразу уловил опасный запах и лишь посмеялся. А потом заставил девицу первой попробовать блюдо. Когда та отказалась, лорд-повар велел страже схватить ее и передать инквизиторам. Вам остается лишь надеяться, что кулинарка не расскажет, кто снабжал ее едой и зельями…;;;1
Recipe_for_revenge-surprise_mushrooms;Рог изобильной мерзости;Дворцовая кухня превратилась во вместилище кошмара. Говорят, лорд-повар, отведав стряпни, весь скукожился, захрустел, и согнулся на манер креветки. Плоть его кипела, кости ломались. Не прошло и мгновения, когда человек превратился в большой рог, из которого на пол хлестала пища на любой вкус. Справиться с напастью не смогли даже стражи. А церковники назвали это карой божьей за чревоугодие. Вы же получили несколько пирожков с гусятиной и мешочек монет.;1.5;1;
