id;description_RU;description_EN;LEN;LEN
intro.1;Вот мы и в новом доме! Пока никто не пришел, проверь, все ли на месте. Выбери в книге рецепт зелья силы и закинь в котел нужные ингредиенты.;Here's our new home! Check that everything's in order before visitors start coming. Open the book, select the strength potion and put the required ingredients into the cauldron.;140;
intro.2;Надеюсь, здесь будет спокойнее, чем в прошлом городе. И мы никому не помешаем. Давай пока сварим чаю! Смешай крапиву с белладонной и добавь шампиньон для аромата.;Let's hope this town will treat us better than the last one. And we won't cross anybody. Maybe a cup of tea to get us going? Mix nettle leaves and nightshade, then add some portabello shrooms for the aroma.;162;
intro.3;Приветствую тебя на новом круге! Кажется, мы все это уже проходили. Как говорится, делай что должно, и будь что будет. Загляни в нашу книгу, она все помнит. Давай что-нибудь сварим!;Welcome back, again. Feels like we've been through it already. As they say, do what you ought to, come what may. Peruse the book. It remembers. Let's get brewing!;181;
intro-4;Приветствую на новом круге! В нашей книге еще хватает пустых страниц, не находишь? Лови-ка рецептик: {0}, {1} и {2}. И не забывай экспериментировать!;Welcome back, again. Looks like you lack some instruments of the trade. Here's a new one: {0}, {1} and {2}. And don't forget to experiment!;151;139
Painter_1;Я художник, и мое имя известно многим! Но в последнее время творения не радуют меня. Ушла из них жизнь, ушло очарование. Дай что-нибудь, что можно в краску подмешать, чтобы они стали лучше!;I'm the famous artist. Lately the joy of creation just hasn't been there anymore. As if life and beauty simply vanished from my paintings. Maybe there's something I can mix with my paints to make them better?;189;
Curse_Potion_Villager;Кузнец мне жизни не дает – как напьется, так каждый раз с кулаками лезет. Дай мне что-нибудь, чтобы уму-разуму его научить! Только не смертельное – не хочу грех на душу брать.;The blacksmith keeps beating me up when he's drunk, I swear he's gonna murder me one of these days. Help me curse him, just make it not too deadly, I wouldn't want to kill him. Heard you could go to hell for that.;175;
Healing_Potion_Villager;В бане поскользнулся вчерась, да об лавку треснулся. Голова до сих пор раскалывается, тени какие-то мерещатся все время. Облегчи боль как-нибудь.;I slipped in the sauna the other day and hit my head real hard. Got meself a splitting headache and I'm seeing some weird shadows everywhere, too. Give me something for my pain.;145;
Healing_Potion_Worker;Вчера на вырубке дерево не в ту сторону повалилось, еле отскочить успел, но меня все равно помяло изрядно. Ребра болят – не продохнуть. Подлечи, будь любезна!;I'm in need of healing! A tree fell the wrong way, I barely dodged it but still got hit pretty bad. I think my ribs are cracked, help!;158;
Horserace1;Я на скачки хочу лошадь свою выставить. Но конкурент у меня есть сильный. Ослабить бы кобылку его! В награду тебе бабушкин рецепт подарю, она первой красавицей слыла.;I want to put my horse on a race. Got one really strong competitor though. I wanna weaken his horse. As a reward I would give you my grandma's special recipe - she was a real beauty, she was.;166;
Love_Potion_Villager;Привет, соседушка! Я тут себе муженька, наконец, подобрала. Да только он от женушки уходить никак не хочет. Помоги по-соседски, а? Она все равно его не ценит.;Hello, neighbor! Guess what, I finally found myself a perfect husband. Problem is, he doesn't want to leave his wife. Care to help? She doesn't appreciate him anyway.;164;
