id;description_RU;description_EN
Healing_Potion_Bandit;Ранили меня сильно. Спаси меня, ведьма. Я денег не пожалею!;I've got a nasty wound. Save me, witch. You won't regret this, promise!
Chameleon_Potion_Bandit;Солдаты местного лорда ищут меня за то, что мы с парнями раздавали его деньги бедным. Мне нужно спрятаться!;Local lord is searching for me because me and my boys were giving his money to the poor. Help me hide!
Chameleon_Potion_Soldier;Нам приказано выследить бандитов в соседнем лесу. Уж очень они стали прытки! Есть у тебя что-нибудь подходящее?;We have an order to hunt the bandits in the forest. They are getting too bold these days. Got anything useful?
Unlove_Potion_Villager_Second;Муж опять из дома сбежал. Опять за своё? Дай мне зелье верное, а не то дождетесь у меня!;Me husband has run away again. I know, that’s your doing! Make me the right potion, or else…
Love_Potion_Villager_Third;Никак он со мной остаться не может, всё равно домой возвращается. Дай мне еще бутылочку! Не могу видеть, как он с этой стервой живет.;Why must he go home, why can’t he just stay with me? Get me another drop, I can’t bear him living with that bitch!
Unlove_Potion_Villager_Third;Ненормальная! Сколько можно семью мою пытаться порушить! Верни мне моего мужа, его душа принадлежит мне!;Something’s wrong with your head, maybe? Stop trying to break my family! My husband’s soul belongs to me! 
Memory_Potion_Villager;Никак он со мной оставаться не хочет, даже твои проклятые зелья не помогают. Не могу я жить без него. Убери его из памяти моей!;He just keeps on going back, your damned potions are no help! I can’t live without him. Say what, get him out of my mind!
Wake_Potion_Merchant;Мне в дорогу дальную нужно ехать будет завтра, товары в город везти. А там лес дремучий и долгий. Хочу пересечь как можно быстрее, да боюсь уснуть. Поможешь?;I have a long trip ahead of me, through a thick and dark forest. I want to cross it as fast as I can, but it's hard to stay awake. Can you help?
Love_Potion_Villager_Second;Что-то слабовато твое приворотное зелье оказалось, всего несколько дней он у меня прожил, а потом опять к жене сбежал. Навари ещё, это были лучшие дни в моей жизни!;Your love potion got weak fast, he stayed with me for a couple of days and returned under his wife’s skirt. It was so wonderful, brew me some more!
Memory_Potion_Husband;Здравствуй, колдунья. Женушка с соседкой всё дергают меня туда-сюда твоими зельями дрянными. Думают, что я не понимаю ни черта. Дай чего-нибудь, чтобы это прекратилось.;Good day, sorceress! My wife and the woman next door keep poisoning me with your foul potions. They think I don’t realize anything, but I do. I’m fed up, give me something to stop it.
Chameleon_Hunter;Что-то я будто охотиться разучился — следы не узнаю, звери меня за версту чуят. А раньше ведь лучшим охотником был! Подсоби, а? Я тебе какую-нибудь шкурку красивую принесу!;I lost my hunting skills all of a sudden — can’t track the beasts, can’t catch them. I used to be the best hunter around! Help me, and I’ll get you some nice pelt.
Beauty_Hunter;Отменное у тебя зелье вышло! Знаешь, дома пустовато как-то одному. Я тут присмотрел себе бабу, но не знаю, как подобраться к ней получше. Есть выпить чего-нибудь для этого дела?;Your potion worked well! Tell you what, I’m feeling lonely sometimes. Laid my eyes on a woman but I’m no good at catching those beasts. I’m sure you have something for it.
Love_Potion_Hunter;Спасительница моя! Я той женщине понравился, но она какую-то чепуху несет. «Не хочу все испортить» и бла-бла. Слышал, что у тебя привортные зелья есть. Поделись, век буду благодарен!;You’re my saviour! The woman liked me, but she keeps on saying stuff like “not-wanting-to-bungle-it-up-again”. Is it true you have so-called love potions? Care to brew me one?
Strength_Bandit_EscapeFromPrison;Моих ребят повязали, когда мы пытались деньги отобрать. Не дай им в тюрячке сгнить, помоги нам разломать там всё, да вытащить их.;My boys got rounded up trying to pull it off with the tax collector! They’re now rotting in jail! Help us tear everything apart and get them out.
Unlove_Potion_Villager;Эта стерва у меня мужика увела магией черной. Сам бы он даже смотреть на нее не стал бы. Верни мне мужа! Знаю, ты в этом виновата!;That bitch stole my husband using black magic! He never even noticed her before! Give him back, I know it's your fault!
Wake_potion_apples;У меня яблоки ворует кто-то, а я поймать не могу — только солнце сядет, сразу засыпаю. Отгони сон на пару дней. Коли воришку поймаю — премного благодарен буду.;Someone's stealing my apples, but I can't catch the thieves — soon as the sun sets I fall asleep. Give me something to stay awake. When I catch them, I'll reward you plenty.
Sleep_Potion_Children;У одного старичка местного яблок — целый сад. А он ими не делится и даже продавать не хочет, дни напролет караулит. Пусть он поспит чуть-чуть, а мы и тебе яблочек принесем!;Know this old man with an apple orchard? He doesn't share with anyone, just guards it day and night. Let him sleep for a bit and we'll share the apples with you!
ChildrenOfBlacksmith;У нас папка помер недавно — кузнецом был, не слышали? Мы уверены, что его старый знакомый траванул — он сильно батю не любил, завидовал ему. Отомстить хотим! Помогите!;Our daddy died recently — he was a smith, haven’t you heard? His old friend poisoned him — he always carried a grudge against him. We want revenge!
Curse_Potion_Village_Second;Ты зачем кузнецу силу вернула? Он опять за старое взялся. Делай теперь меня тоже могучим, может хоть так смогу осадить его;The smith is back to his strength — and to his beatings. Say what, I want to be strong too, that way I may overcome him!
Strength_Potion_Villager;Что-то я слабым стал совсем в последнее время. Молот еле поднимаю, меха качать не могу. Верни мне силу мою, ведьма!;I'm suddenly not as strong as I used to be. I can barely lift my hammer and pump the bellows. Help me get my strength back, witch!
Voice_Change_fool;Здравствуйте, уважаемая зельеварка! Мне нужно от вас зелье, чтобы лягушкой притворится. Есть у нас один рыбак, который меня недолюбливает, хочу посмеяться над ним.;Greetings, oh potion maker! I need one to turn me into a frog. There is a fisherman who isn’t very fond of me, I’m gonna prank him severely.
Chameleon_Potion_Fool;Привет, подруга! Давай мельника разыграем? Ты меня замаскируешь, а я подкараулю его на складе и мукой обсыплю с ног до головы. Вот уморительно будет!;Hello, friendo! Let's prank the miller! I wanna hide in his storeroom and shower him with flour. It'll be hysterical!
Inquisition_Visit;Молва о тебе далеко идет. Дай-ка мне свое лучшее зелье, денег не пожалею.;The word about you travels far and wide.  Make me your best potion, and your reward will be great indeed.
Healing_Potion_Fool_First;Что-то как-то не так оно сработало. Рыбак меня по голосу узнал, да пнул пребольно. Лечи теперь!;Guess something went wrong. The fisherman recognized my voice and kicked me real hard in the groin. Cure me now!
Healing_Potion_Fool_Second;Не сработало варево твое. Мельник увидел и тумаков надавал. Вылечи меня, а то всем нажалуюсь, что никудышная из тебя ведьма!;Your brew was no good! The miller saw me and gave me a thrashing. Cure me, or I’ll tell everyone that you’re a lousy potion maker.
Strength_Potion_Merchant;Я на ярмарку крупную собираюсь, но боюсь, что лошаденка моя старая не утащит телегу со всем товаром. Можешь дать что-нибудь, чтобы живости ей придать?;I’m heading to a glorious fair, but my old horse will be having a hard time pulling all the luggage. Give me something for her vigour.
Chameleon_Bandit_RobTaxCollector;Слыхала сколько деньжищ сборщик налогов собрал? Мы его подстеречь хотим, да изъять себе. Спрячешь нас от его глаз? Добычей поделимся.;Heard about all the money that guy has collected in tax? It’ll only be right to...er... expropriate it. Let’s play a little hide’n’seek and you’ll get your cut.
Memory_Potion_Hunter;От меня жена ушла к другому. Сколько ни упрашивал — возвращаться не хочет, прям светится вся. Водкой её из памяти стереть не могу. Может, ты поможешь?;My wife left me. I tried to get her back, but to no avail. She’s so happy now, with him. Can’t drink my memories away, maybe you can help?
Love_Potion_Villager;Привет, соседушка! Я тут себе муженька, наконец, подобрала. Да только он от женушки своей уходить никак не хочет. Помоги по-соседски, а? Она все равно его не ценит.;Hello, neighbour! Guess what, I finally found myself a perfect husband. Problem is, he doesn't want to leave his wife. Care to help? She doesn't appreciate him anyway.
Children_First;Здравствуйте, многоуважаемая ведьма! Не проклинайте нас, пожалуйста. А вы правда волшебные зелья варите? А дайте нам зелье, чтобы корова голосом человеческим говорила!;Greetings, oh esteemed witch! Please don't curse us. Is it true you're making magical potions? Give us one that can make a cow speak!
Healing_Potion_Villager;В бане поскользнулся вчерась, да об лавку треснулся. Голова до сих пор раскалывается. Облегчи боль как-нибудь.;I slipped in the sauna and hit my head real hard yesterday. Got meself a splitting headache. Help me ease my pain.
Children_Third;У нас отец уже который месяц пьет, не просыхает ни на день. Нам да матушке достается сильно, никак управу на него найти не можем. Может хоть вы поможете?;Our daddy’s drinking every day, like a goldfish. We’re trying to save him, but all we get is a beating. You’re our last hope, make some potion for him!
Curse_Potion_Villager;Здорово. Кузнец наш мне жизни не дает — как напьется, каждый раз с кулаками нападает. Дай мне что-нибудь, чтобы жизнь ему подпортить! Только не смертельное — не хочу грех на душу брать.;Hi there. The smith is the bane of my life — every time he gets drunk he beats me up. Give me something to put a curse on him! Only make it not deadly, I don't want to condemn my soul.
Nightmare_Villager;Слушай, родная. Ко мне брат в гости приехал пару дней назад, я с тех пор уснуть не могу. Храпит так, что печь трясется. Помоги, а, чем-нибудь?;Hey, sweetheart. My brother came to visit and I haven't slept for two days. He's snoring like a bear! Help, please, give me anything.
Children_Second;Наш друг пытался доказать, что локоть лизнуть может, и руку себе поломал. Спор он выиграл, но ему так домой нельзя — родители прибьют. Можете вылечить его?;I dared a friend of mine to lick his own elbow and he did it...well, he broke his arm on the way. Can you please help? His parents are gonna kill him.
Beauty_Potion_Tax_Collector;Я приехал к вам налоги собирать. Помоги обобрать местных, и я в долгу не останусь.;I'm here to collect taxes. Help me to shake down the locals and I'll cut you in.
Nightmare_Children;П-привет. Мне это... Ну... Зелье нужно. Да любое подойдет, я вообще на спор к вам пришел, не превращайте меня в лягушку, пожалуйста!!!;H-hullo. I wanna, uh...p-potion. Any will do, I'm just here on a dare, just d-don't turn me into a frog p-please!!!
