id;string_RU;string_EN;LEN;
Freedom.title;Свобода;Freedom;7;7
Freedom.description;Это был нелегкий выбор. И все же вы отпустили кота на волю, освободив от паутины взаимного долга. Он принял ваше решение и ускользнул в лес, махнув на прощание хвостом. Расставание далось нелегко, и вы уже никогда не будете прежней ведьмой. Ваша история имеет множество концовок. Но лишь эта ведет к завершению.;After all these years, you’ve decided to let your pet free. Let him free from your love and obsession. He accepted your decision and took to the forest. To see him going brought you pain. And now that he's gone, you can’t be yourself anymore. There are many different endings. But, unlike others, this one is final.;311;315
Freedom.short;;;0;0
High Fame.title;Костер;The fire;6;8
High Fame.description;Вы стали самой известной колдуньей в округе! Впрочем, пьянящий аромат успеха недолго кружил вам голову. Инквизиторы прослышали о могучей ведьме и решили покончить с вами, чтобы остановить богомерзкое непотребство.;You're the most famous witch for miles around! You couldn't stay drunk on your new fame for too long, however. The church took notice and decided to put an end to this blasphemous abomination by ending your life.;213;212
High Fame.short;;;0;0
High Fear.title;Толпа;The mob;5;7
High Fear.description;Местные люди живут в постоянном страхе перед вашей силой. Они не знают, чего ждать от жуткой ведьмы. Они пришли все вместе. С вилами и факелами. Но уже не за помощью или зельями, а за вашей жизнью.;Local folk live in constant fear of your power. They just don't know what to expect of you. They've come, together, every single one of them, and not for your help, but for you. To stop you, forever.;197;199
High Fear.short;;;0;0
Moving.title;Переезд;A new home;7;10
Moving.description;Вы решили остаться в стороне от мирской суеты, придворных интриг, бунтов и религиозных столкновений. Просто делали свою работу, пока поток желающих не иссяк. Что ж, у вас достаточно денег и знаний, чтобы перебраться на новое место, благо что люди и их проблемы схожи везде, а пакт не позволит вам сидеть сложа руки.;You've managed to stay alien to the world, the powers that be and their intrigues. You simply were doing your work until the stream of petitioners ended. And now the pact drives you further, to a new place, to serve people who are different but the same. Pack your cauldron and move on.;315;286
Moving.short;;;0;0
King_failure.title;Борьба за власть;Race for power;16;14
King_failure.description;Борьба за власть – грязное дело. Победитель в ней лишь один, а с пешками, вроде вас, никто не считается. Пусть епископ посрамлен, но королю ни к чему лишние свидетели, а заступника у вас, увы, нет. Кинжал в ночи оборвал ваш путь, отправив в лапы силам, которым вы продали душу много лет назад. Чуете? Так пахнет сера.;Race for power can be dirty. There is only one winner, and no one counts the fallen pawns. The bishop was disgraced, and the king has no need for accomplices. No one came to save you. A blow of a dagger ended you path, sending you to the endless night, where time wraps up on itself. For a new beginning.;317;304
King_failure.short;;;0;0
King_success.title;Королевская ведьма;The royal witch;18;15
King_success.description;По всему королевству разнеслись слухи о темных делишках епископа. Церковь теперь не посмеет лезть в дела монарха и навязывать свою волю. Кроме того, узаконенный бастард стал вашим добрым приятелем, и вы можете больше не волноваться о завтрашнем дне… Жаль, что смертные заступники не спасут вашу душу, но вы ведь это и так знали?;Shame has fallen upon the church, and for many years it will not dare interfering in the royal affairs. The legitimized brother of the king has become your good friend, and for the first time in many years, you don't have to worry about the coming day... Alas, no mortal protectors can save your soul, but you knew that all along.;328;330
King_success.short;;;0;0
Low fame.title;Изгнание;Castaway;8;8
Low fame.description;Люди разочаровались в вас. Они отчаялись ждать помощи от бестолковой ведьмы и прогнали вас, разгромив хижину и испортив котел. Даже умелой ведьме не выжить в жестоком мире без ингредиентов, денег и колдовского инвентаря, а уж в вашем случае не поможет и сам дьявол.;People become disappointed in you. Seeing no help from you, they drove you away from your house and into the woods, destroying your cauldron and equipment. There you ended your life, forgotten by all.;265;200
Low fame.short;;;0;0
Low fear.title;Грабеж;The robbery;6;11
Low fear.description;Люди перестали вас бояться. Для одинокой женщины, живущей на краю леса, это плохие новости. Местные бродяги прослышали о том, что у вас много золота, и решили завладеть им. Через ваш труп.;No one is afraid of you anymore. Which wouldn't be too bad, unless you're a lonely woman living on the outskirts of the village. Local vagabonds heard you've got gold and decided to get it. Over your cold dead body.;188;215
Low fear.short;;;0;0
Circle.title;Тайный Круг;The Circle;11;10
Circle.description;Древний змей, как говорят мудрецы, жадно вцепился в собственный хвост и никогда не разомкнет зубы. И не существует более выгодного вложения, чем вложение в вечность… Так решаете вы, отдавая свою жизнь в обмен на клятву Тайного Круга помогать вам в самые сложные моменты будущих жизней.;It is told that the ancient serpent has devoured its own tail to represent the eternal cycle. It is told that no investment is more valuable than the one that persists through that eternity. This is why you agreed to give your life to The Circle for their promise of helping you in your future reincarnations.;285;309
Circle.short;;;0;0
Revolt.title;Мятеж;The revolt;5;10
Revolt.description;При новом короле и порядки иные. Государство объято хаосом и неизвестно, когда наступят мирные дни. Увы, обозленные сторонники предыдущего правителя никуда не делись, у инквизиции по-прежнему припасены дровишки для вашего костра, да и о пропащей душе вам следует подумать.;New king, new order - or rather, the lack of it. The realm is plunged into chaos and no one knows when the days of peace will return. Alas, the resentful supporters of the late king are still numerous, the inquisition's still got a bundle of firewood for you and one of these days you should start thinking about saving your lost soul.;272;335
Revolt.short;;;0;0
Bishop_failure.title;Власяница;The sackcloth;9;13
Bishop_failure.description;Даже одолев короля, епископ не избавился от душевных терзаний. И ушел вместе с исцеленной сестрой в паломничество, чтобы искупить грехи. А весь гнев посрамленного монарха обрушился на вас! Люди не забыли заслуг скромной ведьмы и установили вам памятник на перекрестке. Впрочем, вашей душе от этого не легче, ведь спасти ее не удалось.;The bishop achieved his goal but couldn't bear the price. Together with his healed sister he went away to spend the rest of his life in prayer and repentance. Your days were numbered, but after the execution the peasants put a memorial of sorts at the crossroads. Didn't make it easier for your damned soul, however.;334;316
Bishop_failure.short;;;0;0
Bishop_success.title;Истинная власть;The true power;15;14
Bishop_success.description;Нельзя недооценивать могущество церкви, и король дорого заплатил за эту ошибку. С подачи епископа, который по-прежнему нуждается в помощи, вас нарекли великой целительницей. Правда, вы все чаще замечаете, что кто-то поглядывает на вас из тени, а по ночам слышите вопли грешников. Что ж, рано или поздно за все приходится платить.;One shouldn't underestimate the power of church. At the behest of the bishop, who still needs your services, you are now called a “great healer”. Yet now and again you feel like someone's watching you from the shadows and at nights your hear the screams of sinners in nightmares. Everything has its price.;329;305
Bishop_success.short;;;0;0
