id;description_RU;description_EN;
Curse_Potion_Villager;Здорово. Кузнец наш мне жизни не дает — как напьется, каждый раз с кулаками нападает. Дай мне что-нибудь, чтобы жизнь ему подпортить! Только не смертельное — не хочу грех на душу брать.;;185
Curse_Potion_Wealthy_Villager;Я на скачки хочу лошадь свою выставить. Но конкурент у меня есть сильный один. Хочу ослабить кобылку его. Выигрышем с тобой поделюсь.;;133
Healing_Potion_Villager;В бане поскользнулся вчерась, да об лавку треснулся. Голова до сих пор раскалывается. Облегчи боль как-нибудь.;;110
Love_Potion_Villager;Привет, соседушка! Я тут себе муженька, наконец, подобрала. Да только он от женушки своей уходить никак не хочет. Помоги по-соседски, а? Она все равно его не ценит.;;164
WakeCultist_1;Здравствуйте, уважаемая. Мне бы, это... средство какое-нибудь для, ээээ, хозяина. Спит он много слишком. Что-нибудь бы, чтобы пробудить его от древнего... в смысле, взбодрить, так сказать.;;188
devil.1;Давненько не виделись, милочка! Может чего новое попробуем? Смешай-ка {0}, {1} и {2}.;Haven't seen you for a while, darling! Wanna try something new? Mix {0}, {1} and {2}.;85
inquisition;Слухи о твоем мастерстве слышны повсюду. Свари мне свое лучшее зелье, и я награжу тебя по достоинству.;The word about you travels far and wide.  Make me your best potion, and your reward will be great indeed.;105
Beauty_Potion_Wealthy_Villager;Завтра свататься поеду, а там семейка высокородная, не уверен, что с легкостью согласятся. Сделай меня краше и лучше!;;117
Children_First;Здравствуйте, многоуважаемая ведьма! Не проклинайте нас, пожалуйста. А вы правда волшебные зелья варите? А дайте нам зелье, чтобы корова голосом человеческим говорила!;;167
Poison_Potion_Villager;Мы тут хряка растим на конкурс, а в соседней деревне он в два раза жирнее и злее. Нечистая скотина, точно тебе говорю. Нужно прикончить её, пока их самих не сожрала!;;165
Adventurers_1;Мы отправляемся в дальний путь, чтобы одолеть злобного колдуна. Почти все собрали, решили к тебе на дорожку зайти. Дай нам зелье, чтобы раны лечить.;;148
Bird_Keeper_1;Здравствуй, доченька. У меня с голубями напасть какая-то. То почту медленно доставляют, то вообще летать не хотят. Может, ты мне какое-нибудь пойло для них дашь?;;161
blind.1;Прости за беспокойство. Глаза мои уже не те, что раньше. Я зашел на чудесный запах, что доносился из твого дома. Дай-ка отведать твоего варева!;Sorry for interruption. My eyes are not as good as they used to be. What magnificent smells come out of this place! Can I taste something?;138
Chameleon_Potion_Fool;Привет, подруга! Давай мельника разыграем? Ты меня замаскируешь, а я подкараулю его на складе и мукой обсыплю с ног до головы. Вот уморительно будет!;;149
Strength_Potion_Worker;Слушай, доченька. Я уже совсем старый стал, не могу с молодежью тягаться в шахте. Не хочу, чтобы думали, что слабак. Есть у тебя что-нибудь, чтобы силу мне вернуть?;;164
Voice_Change_fool;Здравствуйте, уважаемая зельеварка! Мне нужно от вас зелье, чтобы лягушкой притворится. Есть у нас один рыбак, который меня недолюбливает, хочу посмеяться над ним.;;163
Doctor_1;Мое призвание — помогать людям, как и ваше! Мне нужно людям ампутации делать, а они этим недовольны. Возражают, так сказать. Поделитесь чем-нибудь, чтоб мои клиенты в забытье впали?;;181
Painter_1;Я художник, мое имя известно многим! В последнее время творения не радуют меня. Ушла из них жизнь, ушло очарование. Дай что-нибудь, что можно в краску подмешать, чтобы они стали лучше!;;184
mary.1;Ага, ты должно быть та ведьма, о которой все говорят! Моему отцу нужно лекарство — голова раскалывается, аж жуть. Я заплачу!;Wow, you're the witch they keep talking about? I need ailment for my father. He's got a terrible headache. I got some money for you!;132
witch-memory.1;Все из-за меня. Это все из-за меня. Какой же дурой я была... Хоть сделанного не воротишь, а забыть не могу.;It's my fault. Everything is my fault. If only I could have done it the other way. I wish I could forget that. But there is no way back.;136
Healing_Potion_Worker;Дерево не в ту сторону повалилось, еле отскочить успел, но зацепило меня. Ребра болят, помоги!;;94
Nightmare_Villager;Слушай, родная. Ко мне брат в гости приехал пару дней назад, я с тех пор уснуть не могу. Храпит так, что печь трясется. Помоги, а, чем-нибудь?;;142
Gardener;Доброго здравия вам, уважаемая! В саду, за которым я присматриваю, завелись жучищи вредные. Всю зелень портят! Вывести не могу. Помогите, а?;;140
Herald;здравствуй, ведьма. помоги, а? у меня голос пропал, а без него работать не могу - я глашатай местный. думал, что из-за простуды, но лекарства не помогают никак.;;160
Peasant_Bear;Доброго здоровьица тебе, колдунья. Поспорил я по пьяни, что медведя голыми руками заборю. Отказываться от слова не могу — негоже это. Дай что-нибудь для храбрости аль для силушки?;;179
Laughter_Potion;Приветик, коллега! Скучные тут люди, никто шуток не понимает, окажи помощь собрату по профессии, а? Хочу местных развеселить, унылые какие-то они все.;;150
Memory_Potion_Hunter;От меня жена ушла к другому. Сколько ни упрашивал — возвращаться не хочет, прям светится вся. Водкой её из памяти стереть не могу. Может, ты поможешь?;;150
Sleep_Potion_Children;У одного старичка местного яблок — целый сад. А он ими не делится и даже продавать не хочет, дни напролет караулит. Пусть он поспит чуть-чуть, а мы и тебе яблочек принесем!;;172
Memory_Potion_Soldier;Доброго тебе дня, колдунья. Я уже пару лет, как с войны вернулся, но до сих пор не могу забыть всех ужасов, что пережил. Сделай с этим что-нибудь, умоляю!;;154
Wake_potion_apples;У меня яблоки ворует кто-то, а я поймать не могу — только солнце сядет, сразу засыпаю. Отгони сон на пару дней. Коли воришку поймаю — премного благодарен буду.;;159
mary.5;Услышала, как какие-то подозрительные типы спорили, настоящая ты ведьма или нет. Сказала им, что ты моя выжившая из ума тетушка. Вот умора, а?;Heard some fishy people asking about you being a real witch or not. Told them, you're my old auntie who is completely out of her mind. Funny, is it?;148
mary.6;Уму непостижимо, что только люди о тебе не болтают! Винят во всех бедах. А ты ж хорошая, я-то знаю. Ну, я им устрою такое, быстро рты позатыкают!;Can you believe what those people think about you? Blaming you for all sorts of stuff! But you're good, I know it! I'll think of something to shut them up.;155
