id;flavour_RU;flavour_EN
Curse3;С людьми и животными случается все больше несчастных случаев. Люди шепчутся, что это всё вы и ваш кот.;Misfortune befalls people and livestock. Some whisper, it's the doing of a certain witch and her damn cat.
Healing3;Деревенские благодарны вам за лечение и разносят вести о вас до самых дальних деревень.;Peasants are grateful for your cures and spread rumors about you even to the farthest villages.
Healing5;Люди из крупных городов стали приезжать в вашу глушь ли за тем, чтобы вы исцелили их.;City folk start coming to your neck of woods seeking cures for their maladies.
Placebo3;По округе ходят слухи, что вы просто травница.;Word gets around that your herbal remedies aren't really magical.
Poison3;Люди беспокоятся, что стало много случаев странных смертей.;Sudden and unusual deaths start making people nervous.
Poison5;Смертей становится больше и больше. Вместе с ними — страха и недовольства.;Deaths are on the steep rise. Fear and anger follow.
Chameleon4;В деревне все чаще загадочным образом пропадают вещи. И люди.;Things go missing way too often in the village, nowhere to be found. People, too.
Love3;Уже несколько счастливых браков разрушилось — поговаривают, что это ваша вина.;More than one happy marriage is in shambles already, and they blame you for that.
Memory3;Говорят, один парень забыл сегодня дома свою голову.;One lad forgot his head home today because it wasn't nailed down, can you believe that?
Laughter3;Вокруг слышно много смеха, и жизнь все веселее.;Village is alive with laughter and life has never looked better.
Laughter5;В деревне похороны. Один из уважаемых людей умер от смеха.;Funeral today. A respectable townsman died from laughter.
Placebo5;Народ считает, что вы просто наливаете подкрашенную воду в бутылки.;People think you're just bottling colored water.
Sleep3;Один мужик заснул на телеге и проснулся в другом городе.;One bloke fell asleep on his cart and woke up in the next town over.
Strength3;В кабаке случилась драка, и один мужик нечаянно сломал другому все ребра.;A bar fight yesterday ended when one peasant punched another so hard he broke his every rib.
Voice3;В деревне появилась труппа бродячих артистов во главе с коровой.;A band of minstrels has formed in the village, lead by a singing cow.
Beauty3;Красота местных селянок (и коров) гремит на весь свет.;Local wenches (and some cows) rival princesses in their beauty.
