id;_RU;_EN
Beauty.hint1;;
Beauty.hint2;В отвар листьев крапивы вмешать толченую поганку...;Add mashed deathcap to nettle decoction...
Wake.hint1;Полуживая летучая мышь;+ a bat
Wake.hint2;Полуживая летучая мышь <i>и грибок, который кладут в суп</i>;+ a bat <i>and an edible mushroom</i>
Perception.hint1;+ ягодка для зрения;+ berry for the eyes
Perception.hint2;+ ягодка для зрения <i>и поганочка?</i>;+ berry for the eyes <i>and a toadstool?</i>
Chameleon.hint1;;
Chameleon.hint2;Клык и крыло с корешком;Wing and fang with some roots
Rejuvenation.hint1;;
Rejuvenation.hint2;...корень похлебочный и жалящая трава;...the pottage root and stinging herb
