id;name_RU;description_RU;name_EN;description_EN
Viral Chowder;Вирусная похлебка;Расходится моментально.
Speed;Эликсир быстрого бега;Чтобы убежать от всего, кроме себя самого.
Pale Liquor;Бледная настойка;Бледная как лошадь.
Hot stuff;Горячительное;Спутник радостей, печалей и скуки.
Sporadic goo;Спорная настойка;Можно пить и даже растираться, стимулирует фантазию.
Hideous liquid;Отвратительное пойло;Мерзкий вкус, запах, цвет, вид...
Strength;Potion of strength;MIGHT over matter! Warning: may cause addiction.
Leaf Tea;Листовой чай;Бодрит. Всегда уместен.
Chameleon;Chameleon potion;No one will see you coming.
Flying;Зелье полета;Правильнее было бы называть это «зельем не-падения»
Beaty;Beauty potion;Makes you the fairest in all the land.
Memory;Potion of oblivion;Get rid of every bad memory. How much of you remains?
Clumsiness;Отвар неуклюжести;Почувствуй себя слоном в посудной лавке.
Hot Spice;Острая приправа;Во время осады можно сыпать на штурмующих стены неприятелей.
Kombucha;Комбуча;Утоляет жажду. С газиками. Вероятно, ингредиент разумен.
Screaming Tea;Кричащий чай;Не держать открытым.
Poison;Poisonous decoction;One drop, one drops.
Mushroom Soup;Грибной бульон;Облегчает жизнь и кишечник.
Perception;Зелье внимания;Возможно, ты даже сможешь найти опечатки в этой книге.
Rat On Roots;Крыса на корнях;Большой вопрос, что из двух составляющих съедобнее.
Sleep;Sleep potion;Smells vaguely of hay and sheep for some reason.
Voice Change;Voice-changing elixir;Perfect for pranks. Funny, no one knows how long it will last!
Root Tincture;Корневая настойка;Терпкое народное пойло. На вкус как земля.
Jelly In The Tail;Холодец в хвосте;Готовят только к Малой Пасхе. И слава Богу!
Laughter;Potion of irresistible laughter;What's brown and sticky?
Caleidoscopic booze;Калейдоскопная бражка;Кружит голову и все остальное тоже.
Rat Pottage;Крысиный потаж;Лучше, чем голодная смерть.
Foolishness;Отвар слабоумия;Нет, это не сковорода, это шляпа!
Suprise Mushrooms;Шампиньоны с сюрпризом;На вкус как куриный бульон. Попалась чешуйка? Сюрприз!
Nutritious Soup;Питательный суп;Любимое кушанье хлеборобов и селян.
Rejuvenation;Зелье омоложения;Сидр из особых яблочек.
Numb;Зелье онемения;Когда ни рук, ни ног не чувствуешь.
Nettle Shchi;Щи из крапивы;Разжижают кровь.
Healing;Healing elixir;Cures all but broken heart.
Wake;Pickmeup potion;Dark brown liquid, smells delicious.
Triple Decoction;Тройной отвар;Который не пьет Ален Дювар.
Unlove;Rejection potion;Best way to get a stolen love back.
Curse;Hexing potion;Inflicts misfortune, weakens health. Did you just spill it on yourself?
Meat Soup;Мясная похлебка;Лучше не знать, из чего это.
Sap of enlightenment;Послабляющее;Открывает то, что должно быть скрыто.
Love;Love potion;Love in a bottle, open with a screw.
