id;name_RU;description_RU;name_EN;description_EN
Love;Приворотное зелье;Концентрированная любовь в бутылке.;Love potion;Love in a bottle, open with a screw.
Unlove;Отворотное зелье;Лучшее средство, чтобы вернуть похищенную любовь.;Rejection potion;Best way to get a stolen love back.
Strength;Зелье силы;Чтобы быть МОГУЧИМ! Осторожно: вызывает привыкание.;Potion of strength;MIGHT over matter! Warning: may cause addiction.
Curse;Зелье порчи;Сильно портит удачу, ослабляет здоровье. Не пролей на себя!;Hexing potion;Inflicts misfortune, weakens health. Did you just spill it on yourself?
Healing;Лечащий эликсир;Исцелит любую боль, кроме душевной.;Healing elixir;Cures all but broken heart.
Poison;Ядовитый отвар;Одна капля - и нет врага на свете!;Poisonous decoction;One drop, one drops.
Chameleon;Зелье отвода глаз;Поможет воровать яблоки или что-то более интересное.;Chameleon potion;No one will see you coming.
Beaty;Зелье красоты;Сделает тебя прекраснейшим во всей стране.;Beauty potion;Makes you the fairest in all the land.
Laughter;Зелье безудержного смеха;Шутка про шляпу никогда еще не была такой смешной;Potion of irresistible laughter;What's brown and sticky?
Sleep;Сонное зелье ;Хрррррррррррррр...;Sleep potion;Smells vaguely of hay and sheep for some reason.
Voice Change;Эликсир смены голоса;Идеально для розыгрышей. Время действия не уточняется.;Voice-changing elixir;Perfect for pranks. Funny, no one knows how long it will last!
Wake;Зелье бодрости;Коричневая жидкость с упоительным запахом.;Pickmeup potion;Dark brown liquid, smells delicious.
Memory;Зелье стирания памяти;Забудешь все неприятное. Правда, тебя это не изменит.;Potion of oblivion;Get rid of every bad memory. How much of you remains?
Viral Chowder;Вирусная похлебка;Расходится моментально.;Viral Chowder;
Speed;Эликсир быстрого бега;Чтобы убежать от всего, кроме себя самого.;;
Pale Liquor;Бледная настойка;Бледная как лошадь.;;
Hot stuff;Горячительное;Спутник радостей, печалей и скуки.;;
Sporadic goo;Спорная настойка;Можно пить и даже растираться, стимулирует фантазию.;;
Hideous liquid;Отвратительное пойло;Мерзкий вкус, запах, цвет, вид...;Hideous liquid;
Leaf Tea;Листовой чай;Бодрит. Всегда уместен.;;
Flying;Зелье полета;Правильнее было бы называть это «зельем не-падения»;;
Clumsiness;Отвар неуклюжести;Почувствуй себя слоном в посудной лавке.;;
Hot Spice;Острая приправа;Во время осады можно сыпать на штурмующих стены неприятелей.;;
Kombucha;Комбуча;Утоляет жажду. С газиками. Вероятно, ингредиент разумен.;;
Screaming Tea;Кричащий чай;Не держать открытым.;;
Mushroom Soup;Грибной бульон;Облегчает жизнь и кишечник.;;
Perception;Зелье внимания;Возможно, ты даже сможешь найти опечатки в этой книге.;;
Rat On Roots;Крыса на корнях;Большой вопрос, что из двух составляющих съедобнее.;;
Root Tincture;Корневая настойка;Терпкое народное пойло. На вкус как земля.;;
Jelly In The Tail;Холодец в хвосте;Готовят только к Малой Пасхе. И слава Богу!;;
Caleidoscopic booze;Калейдоскопная бражка;Кружит голову и все остальное тоже.;;
Rat Pottage;Крысиный потаж;Лучше, чем голодная смерть.;;
Foolishness;Отвар слабоумия;Нет, это не сковорода, это шляпа!;;
Suprise Mushrooms;Шампиньоны с сюрпризом;На вкус как куриный бульон. Попалась чешуйка? Сюрприз!;;
Nutritious Soup;Питательный суп;Любимое кушанье хлеборобов и селян.;;
Rejuvenation;Зелье омоложения;Сидр из особых яблочек.;;
Numb;Зелье онемения;Когда ни рук, ни ног не чувствуешь.;;
Nettle Shchi;Щи из крапивы;Разжижают кровь.;;
Triple Decoction;Тройной отвар;Который не пьет Ален Дювар.;;
Meat Soup;Мясная похлебка;Лучше не знать, из чего это.;;
Sap of enlightenment;Послабляющее;Открывает то, что должно быть скрыто.;;
