Beaty_Potion_Tax_Collector;Tax_Collector;Я приехал к вам налоги собирать. Помоги обобрать местных, и я в долгу не останусь.;Beaty;;5;0;-10;0;0;0;5;0;;;
Chameleon_Potion_Soldier;Soldier;Нам приказано выследить бандитов в соседнем лесу. Хотим засаду им устроить. Есть у тебя что-нибудь подходящее?;Chameleon;;;;;;;;;;;;
Chameleon_Potion_Fool;Fool;Привет, подруга! Давай мельника разыграем? Ты меня замаскируешь, а я подкараулю его на складе и мукой обсыплю с ног до головы. Вот уморительно будет!;Chameleon;;;;;;;;;;;;
Chameleon_Potion_Bandit;Bandit;Местный лорд ищет меня за то, что раздавал его деньги бедным. Мне нужно спрятаться!;Chameleon;Beaty;;;;;;;;;;;
Children;Children;Здравствуйте, многоуважаемая ведьма! Не проклинайте нас, пожалуйста. А вы правда волшебные зелья варите? А дайте нам какое-нибудь, мы на корове проверим!;Любое;;;;;;;;;;;;
Curse_Potion_Villager;Villager;Здорово. Кузнец наш мне жизни не дает - как напьется, каждый раз с кулаками нападает. Дай мне что-нибудь, чтобы жизнь ему подпортить! Только не смертельное - не хочу грех на душу брать.;Curse;Poison;;;;;;;;;;;
Curse_Potion_Wealthy_Villager;Wealthy_Villager;Я на скачки хочу лошадь свою выставить. Но конкурент у меня есть сильный один. Хочу ослабить кобылку его. Выигрышем с тобой поделюсь.;Curse;;;;;;;;;;;;
Healing_Potion_Bandit;Bandit;Ранили меня сильно. Спаси меня, ведьма. Я денег не пожалею!;Healing;;;;;;;;;;;;
Healing_Potion_Villager;Villager;В бане поскользнулся вчерась, да об лавку треснулся. Голова до сих раскалывается. Облегчи боль как-нибудь;Healing;;;;;;;;;;;;
Healing_Potion_Worker;Worker;Дерево не в ту сторону повалилось, еле отскочить успел, но зацепило меня. Ребра болят, помоги!;Healing;;;;;;;;;;;;
Healing_Potion_Animal_Villager;Villager;Скотине моей плохо, отравили собаку любимую. Кто сторожить-то будет теперь? Спаси нас, ради Бога прошу!;Healing;Poison;;;;;;;;;;;
Inquisition_Visit;Inquisiton;Молва о тебе далеко идет. Дай-ка мне свое лучшее зелье, денег не пожалею.;Любое;;;;;;;;;;;;
Laughter_Potion;Fool;Приветик, коллега! Скучные тут люди, никто шуток не понимает, окажи помощь собрату по профессии, а? Хочу местных развеселить, унылые какие-то они все.;Laughter;Poison;;;;;;;;;;;
Love_Potion_Villager;Villager;Привет, соседушка! Я тут себе муженька, наконец, подобрала. Да только он от женушки своей уходить никак не хочет. Помоги по-соседски, а? Она все равно его не ценит.;Love;Curse;;;;;;;;;;;
Beaty_Potion_Wealthy_Villager;Wealthy_Villager;Завтра свататься поеду, а там семейка высокородная, не уверен, что все получится. Сделай меня краше и лучше!;Beaty;;;;;;;;;;;;
Memory_Potion_Villager;Villager;Ушел от меня милый. Не могу жить без него. Убери его из прошлого моего!;Memory;;;;;;;;;;;;
Memory_Potion_Soldier;Soldier;Доброго тебе дня, колдунья. Я уже пару лет, как с войны вернулся, но до сих пор не могу забыть всех ужасов, что пережил. Сделай с этим что-нибудь, умоляю!;Memory;Wake;;;;;;;;;;;
Nightmare_Children;Children;;Любое;;;;;;;;;;;;
Nightmare_Villager;Villager;;Sleep;;;;;;;;;;;;
Poison_Potion_Villager;Villager;Слушай, мы тут хряка растим не первый год на конкурс, а у соседей он в два раза жирнее. Нечистая скотина, точно тебе говорю. Нужно прикончить её, пока их самих не сожрала!;Poison;;;;;;;;;;;;
Poison_Potion_Wealthy_Villager;Wealthy_Villager;;Poison;;;;;;;;;;;;
Sleep_Potion_Children;Children;У одного старичка местного яблок - целый сад. А он ими не делится и даже продавать не хочет, дни напролет караулит. Пусть он поспит чуть-чуть, а мы и тебе яблочек принесем!;Sleep;;;;;;;;;;;;
Sleep_Potion_Villager;Villager;;Sleep;;;;;;;;;;;;
Strength_Potion_Villager;Villager;;Strength;;;;;;;;;;;;
Strength_Potion_Worker;Worker;;Strength;;;;;;;;;;;;
Unlove_Potion_Villager;Villager;;Unlove;;;;;;;;;;;;
Wake_Potion_Villager;Villager;У меня яблоки ворует кто-то, а я поймать не ногу - только солнце сядет, сразу засыпают. Отгони сон на пару дней. Коли воришку поймаю - премного благодарен буду.;Wake;;;;;;;;;;;;
Wake_Potion_Wealthy_Villager;Wealthy_Villager;;Wake;;;;;;;;;;;;
