id;description_RU;description_EN
Test;I'm not in the deck!!!!!!!!!
Inquisition_Visit;Молва о тебе далеко идет. Дай-ка мне свое лучшее зелье, денег не пожалею.
Nightmare_Children;П-привет. Мне это.. Ну.. Зелье нужно. Да любое подойдет, я вообще на спор к вам пришел, не превращайте меня в лягушку, пожалуйста!!!
Chameleon_Potion_Bandit;Местный лорд ищет меня за то, что раздавал его деньги бедным. Мне нужно спрятаться!
Healing_Potion_Villager;В бане поскользнулся вчерась, да об лавку треснулся. Голова до сих пор раскалывается. Облегчи боль как-нибудь.
Love_Potion_Villager;Привет, соседушка! Я тут себе муженька, наконец, подобрала. Да только он от женушки своей уходить никак не хочет. Помоги по-соседски, а? Она все равно его не ценит.
Children;Здравствуйте, многоуважаемая ведьма! Не проклинайте нас, пожалуйста. А вы правда волшебные зелья варите? А дайте нам зелье, чтобы корова голосом человеческим говорила!
Curse_Potion_Villager;Здорово. Кузнец наш мне жизни не дает - как напьется, каждый раз с кулаками нападает. Дай мне что-нибудь, чтобы жизнь ему подпортить! Только не смертельное - не хочу грех на душу брать.
Poison_Potion_Villager;Слушай, мы тут хряка растим не первый год на конкурс, а в соседней деревне он в два раза жирнее и злее. Нечистая скотина, точно тебе говорю. Нужно прикончить её, пока их самих не сожрала!
Chameleon_Potion_Fool;Привет, подруга! Давай мельника разыграем? Ты меня замаскируешь, а я подкараулю его на складе и мукой обсыплю с ног до головы. Вот уморительно будет!
Curse_Potion_Wealthy_Villager;Я на скачки хочу лошадь свою выставить. Но конкурент у меня есть сильный один. Хочу ослабить кобылку его. Выигрышем с тобой поделюсь.
Strength_Potion_Worker;Слушай, доченька. Я уже совсем старый стал, не могу с молодежью тягаться в шахте. Но хочу, чтобы думали, что слабак. Есть у тебя что-нибудь, чтобы силу мне вернуть?
Healing_Potion_Worker;Дерево не в ту сторону повалилось, еле отскочить успел, но зацепило меня. Ребра болят, помоги!
Beauty_Potion_Tax_Collector;Я приехал к вам налоги собирать. Помоги обобрать местных, и я в долгу не останусь.
Laughter_Potion;Приветик, коллега! Скучные тут люди, никто шуток не понимает, окажи помощь собрату по профессии, а? Хочу местных развеселить, унылые какие-то они все.
Nightmare_Villager;Слушай, родная. Ко мне брат в гости приехал пару дней назад, я с тех пор уснуть не могу. Храпит так, что печь трясется. Помоги, а, чем-нибудь?
Memory_Potion_Soldier;Доброго тебе дня, колдунья. Я уже пару лет, как с войны вернулся, но до сих пор не могу забыть всех ужасов, что пережил. Сделай с этим что-нибудь, умоляю!
Sleep_Potion_Children;У одного старичка местного яблок - целый сад. А он ими не делится и даже продавать не хочет, дни напролет караулит. Пусть он поспит чуть-чуть, а мы и тебе яблочек принесем!
Chameleon_Potion_Soldier;Нам приказано выследить бандитов в соседнем лесу. Хотим засаду им устроить. Есть у тебя что-нибудь подходящее?
Unlove_Potion_Villager;Эта стерва у меня мужика увела магией черной. Знаю, что сам бы он даже смотреть на нее не стал бы. Верни мне мужа. Знаю, ты в этом виновата!
Strength_Potion_Villager;Что-то я слабым стал совсем в последнее время. Молот еле поднимаю, меха качать не могу. Верни мне силу мою, ведьма!
Healing_Potion_Bandit;Ранили меня сильно. Спаси меня, ведьма. Я денег не пожалею!
