id;description_RU;description_EN
Test;I'm not in the deck!!!!!!!!!;I'm not in the deck!!!!!!!!! In English!
Inquisition_Visit;Молва о тебе далеко идет. Дай-ка мне свое лучшее зелье, денег не пожалею.;The word about you travels far and wide.  Make me your best potion, and your reward will be great indeed.
Nightmare_Children;П-привет. Мне это.. Ну.. Зелье нужно. Да любое подойдет, я вообще на спор к вам пришел, не превращайте меня в лягушку, пожалуйста!!!;H-hullo. I wanna, uh...p-potion. Any will do, I'm just here on a dare, just d-don't turn me into a frog p-please!!!
Chameleon_Potion_Bandit;Местный лорд ищет меня за то, что раздавал его деньги бедным. Мне нужно спрятаться!;Local lord is searching for me because I was giving his money to the poor. Help me hide!
Healing_Potion_Villager;В бане поскользнулся вчерась, да об лавку треснулся. Голова до сих пор раскалывается. Облегчи боль как-нибудь.;I slipped in the sauna and hit my head real hard yesterday. Got meself a splitting headache. Help me ease my pain.
Love_Potion_Villager;Привет, соседушка! Я тут себе муженька, наконец, подобрала. Да только он от женушки своей уходить никак не хочет. Помоги по-соседски, а? Она все равно его не ценит.;Hello, neighbour! Guess what, I finally found myself a perfect husband. Problem is, he doesn't want to leave his wife. Care to help? She doesn't appreciate him anyway.
Children;Здравствуйте, многоуважаемая ведьма! Не проклинайте нас, пожалуйста. А вы правда волшебные зелья варите? А дайте нам зелье, чтобы корова голосом человеческим говорила!;Greetings, oh esteemed witch! Please don't curse us. Is it true you're making magical potions? Give us one that can make a cow speak!
Curse_Potion_Villager;Здорово. Кузнец наш мне жизни не дает - как напьется, каждый раз с кулаками нападает. Дай мне что-нибудь, чтобы жизнь ему подпортить! Только не смертельное - не хочу грех на душу брать.;Hi there. The smith is the bane of my life — every time he gets drunk he beats me up. Give me something to put a curse on him! Only make it not deadly, I don't want to condemn my soul.
Poison_Potion_Villager;Слушай, мы тут хряка растим не первый год на конкурс, а в соседней деревне он в два раза жирнее и злее. Нечистая скотина, точно тебе говорю. Нужно прикончить её, пока их самих не сожрала!;Listen, uh, so we're raising this prize pig, right? Well our neighbours got one that's twice as big and mean. This beast is foul, I tell you what. We got to get rid of it, before it eats us all!
Chameleon_Potion_Fool;Привет, подруга! Давай мельника разыграем? Ты меня замаскируешь, а я подкараулю его на складе и мукой обсыплю с ног до головы. Вот уморительно будет!;Hello, friendo! Let's prank the miller! You help me change my face, I'll hide in his storeroom and shower him with flour. It'll be hysterical!
Curse_Potion_Wealthy_Villager;Я на скачки хочу лошадь свою выставить. Но конкурент у меня есть сильный один. Хочу ослабить кобылку его. Выигрышем с тобой поделюсь.;I want to put my horse in a race. Got one really strong competitor though. I wanna weaken his horse. Help, and I'll share the prize money with you.
Strength_Potion_Worker;Слушай, доченька. Я уже совсем старый стал, не могу с молодежью тягаться в шахте. Но хочу, чтобы думали, что слабак. Есть у тебя что-нибудь, чтобы силу мне вернуть?;Look, dear. I'm too old and no match for the young lads in the mine.  Don't want them take me for a weakling. Got any of that liquid strength?
Healing_Potion_Worker;Дерево не в ту сторону повалилось, еле отскочить успел, но зацепило меня. Ребра болят, помоги!;A falling tree grazed me the other day. My ribs hurt, help!
Beauty_Potion_Tax_Collector;Я приехал к вам налоги собирать. Помоги обобрать местных, и я в долгу не останусь.;I'm here to collect taxes. Help me to shake down the locals and I'll cut you in.
Laughter_Potion;Приветик, коллега! Скучные тут люди, никто шуток не понимает, окажи помощь собрату по профессии, а? Хочу местных развеселить, унылые какие-то они все.;Heya, sister! The locals are such a dull lot. No one can take a joke. I just want to make them laugh. Give me a hand, will ya?
Nightmare_Villager;Слушай, родная. Ко мне брат в гости приехал пару дней назад, я с тех пор уснуть не могу. Храпит так, что печь трясется. Помоги, а, чем-нибудь?;Hey, sweetheart. My brother came to visit and I haven't slept for two days. He's snoring like a bear! Help, please, give me anything.
