id;description_RU;description_EN
BlacksmithDied;В деревне помер единственный кузнец, на котором держалась его большая семья. Жители очень грустят о его смерти. Найти замену будет непросто.
BanditDied;Вы взяли на себя грех, не спася человека от смерти, но в окрестностях деревни стало безопаснее.
SoldierSleepForgot;Отряд солдат, присланный на борьбу с местными разбойниками, просидел весь день в трактире, будучи не в состоянии выполнять приказ. Братва вам благодарна.
SoldierDied;В местном лесу перебили всех солдат, отправленных на поиски бандитов. Последние становятся все сильнее, и вы надеетесь, что они запомнят вашу помощь.
ManDiedFromPoison;В самом расцвете сил скончался один из местных мужиков. Его вдова (и почему-то её соседка) очень сильно горюют.
ManDiedHeartAttack;Очередная смерть в деревне - умер мужик, который в последнее время бегал между двумя бабами. Говорят, сердце не выдержало любовных страстей. Ещё поговаривают, что обе они частенько заглядывали к вам
MerchantReturned;Благодаря вашему зелью, торговец всю дорогу был начеку и смог улизнуть от бандитской засады. Он хорошо отблагодарил вас.
MerchantDied;Местный торговец так и не вернулся в деревню. Возможно, он просто уехал в другой город. Но многие видели, как прямо перед пропажей, он заходил к вам.
СowPerforming;Сольные выступления местной коровы быстро набирают популярность.
WomenLostMemory;Обе крестьянки забыли о предмете раздора. Мужик занес вам благодарность и отправился искать своего личного счастья в другой деревне.
WomenDied;В одну ночь скончались две соседки. Самое странное в этом, что вдовец одной из них теперь выглядит счастливее.
BanditReturn;Природа настолько отчистилась, что местный лес опять наполнился бандитами. Они благодарны вам (в отличие от местных жителей и властей)
AngryCitizen;Сегодня в трактире один селянин ругал вас отборной бранью за то, что вы подвели его. Грозился повесить вашего кота.
FoolDied;Скончался местный дурачок. Многие выразили сожаление его семье, но вместе с тем вздохнули с облегчением - его "шуточки" достали многих.
BanditFailToEscape;На днях были схвачены остатки местной банды при попытке организовать побег своих товарищей. Свидетели говорят, что они ругали вас последними словами и клялись отомстить.
ManDiedFromGhost;Произошла ещё одна странная смерть. Кто-то говорит, что это призрак кузнеца вернулся с того света, чтобы отомстить.
BlacksmithKilledByMan;В ходе очередной попойки один из крестьян пристукнул кузнеца. Он говорит, что "не хотел, силушки не рассчитал", но крестьяне уже скрутили его и передали лорду на суд. Шутка ли - единственного мастера убил!
DrunkDied;В местной таверне в один из вечеров одному завсегдатаю стало плохо. Его не успели откачать, но он слыл нехорошим человеком - грустят по нему немногие.
BlacksmithKilledAMan;В пылу спора местный кузец не рассчитал силы и прибил другого крестьянина. Если лорд найдет его и бросит в тюрьму, туго будет не только его семье, но и всей деревне - он был единственным мастером на всю округу.
BlacksimthForgot;В деревне переполох - кузнец забыл с какой стороны браться за молот. Неясно, вернется ли к нему память. все это время деревене будет туго.
FisherKissedTheFrog;Дети, играя на речке, увидели как один рыбак целовал лягушку и быстро разнесли эту новость по деревне. Рыбак пытался всё отрицать, но его репутация уже была подмочена.
GhostAtTheMill;Поговаривают, что на мельнице завелось привидение. Церковь пришлет кого-то проверить этот слух.
BanditInPrision;При попытке ограбить сборщика налогов были хвачены несколько бандитов. Их дружкам удалось улизнуть, но пойманных ждет серьезное наказание.
FoolGrateful;Дуракчок благодарен вам за помощь с его проказами. Он разносит по всей округе вести, о том, какая вы хорошая и понимающая.
MerchantReturnedVeryWealthy;Торговец вернулся из города очень довольный тем, как вы ему помогли.
TaxCollectorWasRobbed;Все деньги, что собрали с крестьян не доехали до лорда - сборщик налогов был найден мертвым на дороге. Лорд лютует, обещает найти и покарать всех, кто в этом виноват. Вместе с тем вам кошель стал тяжелее.
CowLost;У одной бедной женщины пропала корова — она нигде не может ее найти.
CowForgotMilk;У одной бедной женщины корова вдруг перестала давать молоко. Конечно же, люди винят в этом вас.
FamilyReunited;В деревне праздник - воссоединилась недавно разбежавшаяся семья. Люди в некотором недоумении, но рады за пару. А вас гложет чувство, что скоро вы увидете этого охотника снова.
WidowOfBlacksmith;К вдове кузнеца внезапно посватался его старый приятель. Говорит, что хочет помочь в тяжелой ситуации и т.п. Звучит очень благородно, но среди селян поднялся слушок, что смерть была не случайной.
TaxCollectorAwesome;Присланный в деревню сборщик налогов пользуется большим успехом у местных девушек. Те встают в очередь, чтобы отдать свой гражданский долг.
TaxCollectorFoundDead;Присланный в деревню сборщик налогов найден мертвым в своей комнате. Ничем хорошим для селян это не закончится.
TaxCollectorFunnyVoice;В деревню прибыл сборщик налогов с таким смешным голосом, что люди приходили толпами над ним посмеяться. Кто-то даже дал ему монетку.
