id;description_RU;description_EN;;
BlacksmithDied;В деревне помер единственный кузнец, на котором держалась его большая семья. Жители очень грустят о его смерти. Найти замену будет непросто.;The only blacksmith in the village is dead. He was a sole provider for his large family and will be missed greatly. Finding a replacement's gonna be tough.;140;155
BanditDied;Вы взяли на себя грех, не спася человека от смерти, но в окрестностях деревни стало безопаснее.;You refused to help a wounded man, and he died as a result. A heavy sin, but the village is a little safer now.;95;111
SoldierSleepForgot;Отряд солдат, присланный на борьбу с местными разбойниками, просидел весь день в трактире, будучи не в состоянии выполнять приказ. Братва вам благодарна.;Soldiers, sent here to hunt bandits, spent the whole time in the local tavern instead. Homeboys are thankful.;153;109
SoldierDied;В местном лесу перебили всех солдат, отправленных на поиски бандитов. Последние становятся все сильнее, и вы надеетесь, что они запомнят вашу помощь.;Soldiers went into the woods and not a single one came back, all slain by the bandits they were sent to hunt. You can only hope the latter will remember your kindness.;149;167
ManDiedFromPoison;В самом расцвете сил скончался один из местных мужиков. Его вдова (и почему-то её соседка) очень сильно горюют.;A villager in his prime dropped dead. His wife (and, strangely, her neighbor) is inconsolable.;111;94
ManDiedHeartAttack;Умер мужик, который в последнее время бегал между двумя бабами. Говорят, сердце не выдержало любовных страстей. Ещё поговаривают, что обе они частенько заглядывали к вам.;Another death in the village. They say the deceased kept swinging between two women and his heart gave out eventually. Both of the women were also seen frequenting you.;170;168
MerchantReturned;Благодаря вашему зелью, торговец всю дорогу был начеку и смог улизнуть от бандитской засады. Он хорошо отблагодарил вас.;Thanks to your potion the merchant stayed sharp the whole way and dodged a bandits' ambush. He has paid you handsomely.;120;119
MerchantDied;Местный торговец так и не вернулся в деревню. Возможно, он просто уехал в другой город. Но многие видели, как прямо перед пропажей он заходил к вам.;The merchant never returned to the village. Maybe he moved to another town. But his visit to you didn't go unnoticed though, and people are talking.;148;148
СowPerforming;Сольные выступления местной коровы быстро набирают популярность.;Local singing cow quickly becomes more and more popular among the masses.;64;73
WomenLostMemory;Обе крестьянки забыли о предмете раздора. Мужик занес вам благодарность и отправился искать своего личного счастья в другой деревне.;Two peasant women completely forgot their fight over the same man. The man in question gave you his thanks and some gold and left the village to seek happiness elsewhere.;132;170
WomenDied;В одну ночь скончались две соседки. Самое странное в этом, что вдовец одной из них теперь выглядит счастливее.;Two women, who lived next to each other, died suddenly and on the same night. The widower looks suspiciously happy.;110;115
BanditReturn;Природа настолько очистилась, что местный лес опять наполнился бандитами. Они благодарны вам (в отличие от местных жителей и властей).;Feels like the forest has more bandits than trees these days. They are quite thankful (unlike the villagers and the authorities).;134;129
AngryCitizen;Сегодня в трактире один селянин ругал вас отборной бранью за то, что вы подвели его. Грозился повесить вашего кота.;Someone made a scene in the tavern today, screaming something about the witch who screwed him, and not in a good way. Threatened to hang your cat, too.;115;151
FoolDied;Скончался местный дурачок. Многие выразили сожаление его семье, но вместе с тем вздохнули с облегчением — его «шуточки» достали многих.;The village fool has died. Some consoled his family but many breathed a sign of relief — his pranks annoyed everyone.;135;117
BanditFailToEscape;На днях были схвачены остатки местной банды при попытке организовать побег своих товарищей. Свидетели говорят, что они ругали вас последними словами и клялись отомстить.;The last of the bandits were caught today while they were trying to bust their buddies out of jail. They were cursing you and promised revenge.;169;143
ManDiedFromGhost;Произошла ещё одна странная смерть. Кто-то говорит, что это призрак кузнеца вернулся с того света, чтобы отомстить.;Yet another weird death. Some say, the blacksmith's ghost rose from the dead, seeking revenge.;115;94
BlacksmithKilledByMan;Один из крестьян пристукнул кузнеца. Он говорил, что «силушки не рассчитал», но крестьяне уже скрутили его и передали на суд. Шутка ли — единственного мастера убил!;One of the peasants killed the blacksmith in a tavern brawl. He swore he didn't know his own strength, but the others tied him up and delivered to the authorities.;164;163
DrunkDied;В местной таверне одному завсегдатаю стало плохо. Его не успели откачать, но он слыл нехорошим человеком — грустят по нему немногие.;A drunk died right in the tavern the other evening. Halfhearted attempts to save him were futile. Considering his reputation, he won't be missed by many.;132;153
BlacksmithKilledAMan;В пылу спора местный кузец не рассчитал силы и прибил другого крестьянина. Если его бросят в тюрьму, туго придется всей деревне — он был единственным мастером на всю округу.;During an argument the local blacksmith killed a peasant with a single blow. If the lord finds him, the whole village will fall on hard times — he's the only smith around.;173;171
