class;id;string_RU
DefaultNamespace.IngredientTextTool;Bat;Крыло летучей мыши
DefaultNamespace.IngredientTextTool;Leaf2Button;Листья крапивы
DefaultNamespace.IngredientTextTool;Toadstool;Поганка
DefaultNamespace.IngredientTextTool;LeafButton;Лист вербятки
DefaultNamespace.IngredientTextTool;Agaricus;Шампиньон
DefaultNamespace.IngredientTextTool;Amanita2Button;Огненный мухомор
DefaultNamespace.IngredientTextTool;Root2Button;Злачный корень 
DefaultNamespace.IngredientTextTool;Amanita1Button;Мухомор
DefaultNamespace.IngredientTextTool;RatButton;Хвост крысы
DefaultNamespace.IngredientTextTool;Root1Button;Корень мандрагоры
EasyLoc.EasyLocTextTool;night panel button;Дальше
EasyLoc.EasyLocTextTool;ending panel button;Заново
EasyLoc.EasyLocTextTool;status bar popup fame;Слава
EasyLoc.EasyLocTextTool;status bar popup fear;Страх
EasyLoc.EasyLocTextTool;status bar popup money;Деньги
EasyLoc.EasyLocTextTool;night panel title;Наступила ночь
EasyLoc.EasyLocTextTool;menu continue;Продолжить
EasyLoc.EasyLocTextTool;menu new game;Новая игра
EasyLoc.EasyLocTextTool;menu exit;Выход
DefaultNamespace.PotionPopup;youBrewed;Вы сварили: 
DefaultNamespace.PotionPopup;noRecipeForThis;Вы сварили что-то не то
DefaultNamespace.GameManager;defaultNightText1;Ничего необычного.
DefaultNamespace.GameManager;defaultNightText2;Ночь спокойна и тиха.
DefaultNamespace.GameManager;defaultNightText3;Дует ветер, гонит тучки.
DefaultNamespace.GameManager;wrongPotionCheckText1;Люди фыркают и поджимают губы, когда слышат ваше имя — они недовольны тем, что ваши зелья им не помогают. 
DefaultNamespace.GameManager;wrongPotionCheckText2;Крестьяне презрительно отзываются о ваших способностях: «Да она ни одного зелья правильно сварить не может!» 
