class;id;string_RU;string_EN
DefaultNamespace.IngredientTextTool;Bat;Крыло летучей мыши;Bat's wing
DefaultNamespace.IngredientTextTool;Leaf2Button;Листья крапивы;Nettle leaf
DefaultNamespace.IngredientTextTool;Toadstool;Поганка;Death cap
DefaultNamespace.IngredientTextTool;LeafButton;Лист вербятки;Verbaine leaf
DefaultNamespace.IngredientTextTool;Agaricus;Шампиньон;Agaricus
DefaultNamespace.IngredientTextTool;Amanita2Button;Огненный мухомор;Fire amanita
DefaultNamespace.IngredientTextTool;Root2Button;Злачный корень ;Wry root
DefaultNamespace.IngredientTextTool;Amanita1Button;Мухомор;Amanita
DefaultNamespace.IngredientTextTool;RatButton;Хвост крысы;Rat's tail
DefaultNamespace.IngredientTextTool;Root1Button;Корень мандрагоры;Mandrake root
EasyLoc.EasyLocTextTool;night panel button;Дальше;Next
EasyLoc.EasyLocTextTool;ending panel button;Заново;Again
EasyLoc.EasyLocTextTool;status bar popup fame;Слава;Fame
EasyLoc.EasyLocTextTool;status bar popup fear;Страх;Dread
EasyLoc.EasyLocTextTool;status bar popup money;Деньги;Wealth
EasyLoc.EasyLocTextTool;night panel title;Наступила ночь;Nightfall
EasyLoc.EasyLocTextTool;menu continue;Продолжить;Resume
EasyLoc.EasyLocTextTool;menu new game;Новая игра;New game
EasyLoc.EasyLocTextTool;menu exit;Выход;Exit
DefaultNamespace.PotionPopup;youBrewed;Вы сварили: ;You brewed: 
DefaultNamespace.PotionPopup;noRecipeForThis;Вы сварили что-то не то;You brewed nothing useful
DefaultNamespace.GameManager;defaultNightText1;Ничего необычного.;Nothing unusual happens.
DefaultNamespace.GameManager;defaultNightText2;Ночь спокойна и тиха.;Another peaceful night.
DefaultNamespace.GameManager;defaultNightText3;Дует ветер, гонит тучки.;Wind plays with clouds.
DefaultNamespace.GameManager;wrongPotionCheckText1;Люди фыркают и поджимают губы, когда слышат ваше имя — они недовольны тем, что ваши зелья им не помогают. ;People snort and sneer when they hear your name – your potions are no help whatsoever.
DefaultNamespace.GameManager;wrongPotionCheckText2;Крестьяне презрительно отзываются о ваших способностях: «Да она ни одного зелья правильно сварить не может!» ;Peasants speak of you with disdain: “She can't brew a single potion right!”
DefaultNamespace.TimeBar;dayText;День;Day
